"","prior_bioemi","prior_landemi","prior_bioemi_2nd","prior_landemi_2nd","post_bioemi","post_landemi","treatment_group","treatment_positive_bioemi","treatment_positive_landemi","gap_to_true_value_bioemi","gap_to_true_value_landemi","treatment_positive_bioemi_and_landemi","confidence","coping_on_income","acceptance_alpinePV","acceptance_wind","acceptance_newnucs","acceptance_prolongnucs","trust_in_sci","left_right","gender_binary","education_group","education_numeric","urban_rural","urban_rural_numeric","urban_rural_binary","income","age","climate_salience","speeder","speeder_treatment_bioemi","speeder_treatment_landemi","attention_bioemi_yes","attention_landemi_yes","attention_check_yes"
"1",NA,NA,4,-2,NA,NA,NA,NA,NA,4,-2,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"Primary education",1,"City with less than 50,000 inhabitants",2,"urban",NA,NA,"Yes",TRUE,NA,NA,NA,NA,NA
"2",2,-2,2,-1,NA,NA,NA,NA,NA,2,-1,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"Primary education",1,"City with more than 50,000 inhabitants",1,"urban",NA,NA,"Yes",TRUE,NA,NA,NA,NA,NA
"3",3,-2,-3,3,2,NA,"treatment","positive_treatment","negative_treatment",-3,3,"mixed_treatment",6,NA,4,4,-3,-4,NA,4,NA,"Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1990,"Yes",FALSE,NA,NA,NA,FALSE,FALSE
"4",3,1,-1,-1,-1,NA,"treatment","positive_treatment","positive_treatment",-1,-1,"positive_treatment",7,"Yes",2,2,1,-3,NA,3,"female","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1999,"Yes",FALSE,FALSE,NA,NA,FALSE,FALSE
"5",0,-1,-2,-2,1,2,"control","positive_control","positive_control",-2,-2,"positive_control",4,"No",0,0,0,0,NA,8,"female",NA,NA,"Agglomeration or suburb of a city",3,"rural",NA,NA,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"6",2,-3,4,-2,0,0,"treatment","negative_treatment","positive_treatment",4,-2,"mixed_treatment",5,"Yes",0,0,0,0,NA,6,NA,"Secondary education",2,"City with more than 50,000 inhabitants",1,"urban",NA,1928,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"7",2,1,-2,-1,0,-1,"control","positive_control","positive_control",-2,-1,"positive_control",4,"No",4,4,1,-4,NA,4,"female","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1979,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"8",1,-1,0,-1,1,1,"treatment","positive_treatment","positive_treatment",0,-1,"positive_treatment",6,"No",4,4,4,4,NA,NA,"female","Primary education",1,"City with less than 50,000 inhabitants",2,"urban",NA,1933,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9",-1,1,0,0,-1,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",7,"No",3,1,2,2,NA,4,"female",NA,NA,"Village, farm or house in the countryside",4,"rural",NA,1939,"Yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"10",-3,2,1,2,2,2,"control","negative_control","negative_control",1,2,"negative_control",6,"No",4,4,-4,-4,NA,2,"male","Tertiary education",4,"City with more than 50,000 inhabitants",1,"urban",NA,1925,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
